"Organisation","csv","doc","docx","dot","eps","gif","jpg","odp","ods","odt","pdf","png","ppt","pptx","rtf","txt","xls","xlsm","xlsx","xml","xsd","zip"
"Innovate UK",44,,,,,,,,,,253,,,,,,,,1,,,
"Institute for Apprenticeships",,,,,,,,,,,2,,,,,,,,,,,
"Intellectual Property Office",24,107,4,,,,,,,4,552,,,1,51,,2,,22,,,3
"Intelligence Services Commissioner",,,,,,,,,,,1,,,,,,,,,,,
"Interception of Communications Commissioner",,,,,,,,,,,1,,,,,,,,,,,
"jHub Defence Innovation",,,,,,,,,,,2,,,,,,,,,,,
"Joint Nature Conservation Committee",,,,,,,,,,,6,,,,,,,,,,,
"Judicial Appointments and Conduct Ombudsman",,,,,,,,,,,2,,,,,,,,,,,
"Judicial Appointments Commission",,,,,,,,,,,2,,,,,,,,,,,
"Lammy Review",,,,,,,,,,,3,,,,,,,,,,,
"Law Commission",,,,,,,,,,,10,,,,,,,,,,,
"Legal Aid Agency",,47,85,,,,,,7,6,828,,4,,,,48,10,20,,,
"Local Government and Social Care Ombudsman",,,,,,,,,,,2,,,,,,,,,,,
"LocatED",,,,,,,,,,,2,,,,,,,,,,,
"Low Level Waste Repository Ltd",,7,5,,,,1,,,,222,,,,,,4,6,3,,,
"Low Pay Commission",,,3,,,,,,,,32,,,,,,,,8,,,
"Magnox Ltd",,,,,,,,,,,28,,,,,,,,,,,
"Marine Accident Investigation Branch",,,,,,,,,,,136,,,,,,,,,,,
"Marine Management Organisation",20,8,15,,,,2,,10,1,484,,,,,,193,3,24,,,
"Maritime and Coastguard Agency",40,17,27,,,,,,7,1,920,,,,,,2,,12,,,2
"Marshall Aid Commemoration Commission",,,,,,,,,,,3,,,,,,,,,,,
"Medical Research Council",,,,,,,,,,,2,,,,,,,,,,,
"Medicines and Healthcare products Regulatory Agency",43,79,11,,,,,,,1,561,,2,1,,,4,,6,,,3
"Met Office",,,,,,,,,,,2,,,,,,,,,,,
"Migration Advisory Committee",,1,,,,,,,,,292,,,,,,,,5,,,
"Military Aviation Authority",,,,,,,,,,,9,,,,,,1,,,,,
"Ministry of Defence",229,171,44,1,,,53,,1,1,6710,,,1,,,53,4,106,,,2
"Ministry of Housing, Communities & Local Government",129,19,28,,,,1,,1,4,1166,,,,,,143,4,508,,,22
"Ministry of Justice",340,89,100,,,,5,,122,1,644,6,1,2,13,,171,1,349,,,56
"Monitor",3,,5,,,,,,,,13,,,,,,,10,,,,
"National College for Teaching and Leadership",,1,12,,,,,,8,3,185,,,,,,5,,14,,,
"National Counter Terrorism Security Office",,1,,,,,,,,,16,,,,,,,,,,,
"National Crime Agency Remuneration Review Body",,,,,,,,,,,3,,,,,,,,,,,
"National Cyber Security Centre",,,,,,,,,,,1,,,,,,,,,,,
"National Data Guardian",,,,,,,,,,,15,,,,,,,,,,,
"National DNA Database Ethics Group",,,,,,,,,,,1,,,,,,,,,,,
"National Employment Savings Trust (NEST) Corporation",,,,,,,,,,,2,,,,,,,,,,,
"National Forest Company",,,,,,,,,,,4,,,,,,,,,,,
"National Information Board",,,,,,,,,,,3,,,,,,,,,,,
"National Infrastructure Commission",,,,,,,,,,,2,,,,,,,,,,,
"National Institute for Health and Care Excellence",,,,,,,,,,,1,,,,,,,,,,,
"National Museum of the Royal Navy",,,,,,,,,,,6,,,,,,,,,,,
"National Offender Management Service",,,1,,,,,,4,1,1,,,,11,,47,,,,,
"National Probation Service",,65,,,,,,,,,109,,1,,,,,,,,,
"National security and intelligence",,2,,,,,,,1,1,24,,,,,,1,,,,,
"Natural England",,67,16,,,,,,5,1,638,,,,,,6,2,10,,,
"Natural Environment Research Council",,,,,,,,,,,2,,,,,,,,,,,
"Natural Resources Wales",,,,,,,,,,,35,,,,,,,,,,,
"Network Rail",,,,,,,,,,,3,,,,,,,,,,,
"NHS Blood and Transplant",,,,,,,,,,,1,,,,,,,,,,,
"NHS Digital",,,,,,,,,1,,3,,,,,,2,,2,,,
"NHS England",,,3,,,,,,,,15,,,,,,,10,,,,
"NHS Pay Review Body",,,,,,,,,,,11,,,,,,,,,,,
"NHS Trust Development Authority",,,,,,,,,,,4,,,,,,,,,,,
"Northern Ireland Executive",,,,,,,,,,,3,,,,,,,,,,,
"Northern Ireland Office",,1,4,,,,,,3,,34,,,,,,,1,20,,,
"Northern Lighthouse Board",1,,,,,,,,,,2,,,,,,,,,,,
"NS&I",,,,,,,,,,,4,,,,,,,,,,,
"Nuclear Decommissioning Authority",,10,10,,,,,,6,2,88,,,,,,4,,2,,,
"Ofcom",,,,,,,,,,,1,,,,,,,,,,,
"Office for Budget Responsibility",,,,,,,,,,,9,,,,,,,,,,,
"Office for Civil Society",2,,7,,,,,,,,82,,,,,,,,,,,
"Office for Disability Issues",,,,,,,,,,2,3,,,,,,,,,,,
"Office for Fair Access",,,,,,,,,,,1,,,,,,,,,,,
"Office for Life Sciences",,,,,,,,,,,7,,,,,,,,4,,,
"Office for Low Emission Vehicles",7,,1,,,,,,,2,23,,,,,,,,2,,,
"Office for National Statistics",,,,,,,,,,,1,,,,,,,,,,,
"Office for Nuclear Regulation",,,,,,,,,,,4,,,,,,,,,,,
"Office for Product Safety and Standards",,17,28,,,1,3,,,,1063,,1,2,,,8,,14,,,
"Office for Students",,,,,,,,,,,2,,,,,,,,,,,
"Office of Financial Sanctions Implementation",,,2,,,,,,,,141,,,,,,,,1,,,
"Office of Manpower Economics",,,13,,,,,,2,,36,,,,,,,,1,,,
"Office of Rail and Road",,,,,,,,,3,,14,,,,,,,,,,,
"Office of Rail Regulation",,,,,,,,,3,,1,,,,,,,,,,,
"Office of Surveillance Commissioners",,,,,,,,,,,1,,,,,,,,,,,
"Office of Tax Simplification",,,,,,,,,,,27,,,,,,,,,,,
"Office of the Advocate General for Scotland",12,4,34,,,,,,,,1,,,,,,,,4,,,
"Office of the Chief Electoral Officer for Northern Ireland",,,1,,,,,,,,1,,,,,,,,,,,
"Office of the Immigration Services Commissioner",2,9,,,,,,,2,,47,,,,,,,,,,,
"Office of the Leader of the House of Commons",,1,4,,,,,,,,53,,,,,,,,,,,
"Office of the Parliamentary Counsel",,,,,,,,,,,5,,,,,,,,,,,
"Office of the Public Guardian",,,,,,,,,,,281,,,,,,,,,,,28
"Office of the Registrar of Consultant Lobbyists",,,,,,,,,,,1,,,,,,,,,,,
"Office of the Regulator of Community Interest Companies",5,8,2,,,,,,,,8,,,,,,,,,,,
"Office of the Schools Adjudicator",,1,1,,,,,,,2,142,,,,,,,,,,,
"Office of the Secretary of State for Scotland",27,,2,,,,,,,,24,,,,,,,1,10,,,
"Office of the Secretary of State for Wales",19,,1,,,,,,,,138,,,,,,7,2,9,,,
"Official Solicitor and Public Trustee",,3,,,,,,,,,8,,,,,,,,,,,
"Ofgem",,,,,,,,,,,2,,,,,,,,,,,
"Ofqual",73,,2,,,,1,4,2,,330,2,,4,,,,,39,,,
"Ofsted",147,106,69,,,,,,19,,368,,2,2,,,32,5,131,,,21
"Oil and Gas Authority",,,,,,,,,,,1,,,,,,,,,,,
"Ordnance Survey",,,,,,,,,,,2,,,,,,,,,,,
"Parole Board",,2,1,,,,,,,,25,,,,,,,,,,,
"Passenger Focus",,,,,,,,,,,1,,,,,,,,,,,
"Payment Systems Regulator",,,,,,,,,,,1,,,,,,,,,,,
"Pension Protection Fund",,,,,,,,,,,2,,,,,,,,,,,
"Planning Inspectorate",26,4,8,,,,,,30,6,1517,,,,,,1,,17,,,
"Police Advisory Board for England and Wales",,,,,,,,,,,14,,,,,,,,,,,
"Police Remuneration Review Body",,,1,,,,,,,,12,,,,,,,,,,,
"Preventing Sexual Violence Initiative",,,,,,,,,,,12,,,,,,,,,,,
"Prime Minister's Office, 10 Downing Street",1,,1,,,,,,,,52,,,,,,,,,,,
"Prison Service Pay Review Body",,,,,,,,,2,,16,,,,,,,,1,,,
"Professional Standards Authority for Health and Social Care",,,,,,,,,,,6,,,,,,,,,,,
"Public Health England",34,50,262,,1,,6,,236,12,4553,17,3,14,,8,259,22,200,,,17
"Pubs Code Adjudicator",,,5,,,,,,,,80,,,1,,,,,,,,
"Queen Elizabeth II Conference Centre",2,,,,,,,,,,,,,,,,,,,,,
"Radioactive Waste Management",,,,,,,,,,,118,,,,,,2,,2,,,2
"Rail Accident Investigation Branch",,1,,,,,,,,,485,,,,,,,,,,,
"Rail Safety and Standards Board",,,,,,,,,,,1,,,,,,,,,,,
"Regulator of Social Housing",,,,,,,,,,,,,,,,,,,1,,,
"Regulatory Delivery",,,,,,,,,,,7,,,,,,,,,,,
"Regulatory Policy Committee",,,,,,,,,,,583,,,,,,,,,,,
"Review Body on Doctors' and Dentists' Remuneration",,,,,,,,,,,9,,,,,,,,,,,
"Royal Mail",,,,,,,,,,,2,,,,,,,,,,,
"Royal Parks",18,,,,,,,,,,,,,,,,,,,,,
"Rural Development Programme for England Network",,,1,,,,,,,,9,,,,,,1,,,,,
"Rural Payments Agency",5,14,6,,,,1,,,,209,5,,,,,2,,2,,,
"S4C",,,,,,,,,,,4,,,,,,,,,,,
"School Teachers' Review Body",,,,,,,,,,,3,,,,,,,,,,,
"Schools Commissioners Group",,,,,,,,,,,209,,,,,,,,,,,
"Science Advisory Council",,,,,,,,,,,6,,,,,,,,,,,
"Science and Technology Facilities Council",,,,,,,,,,,2,,,,,,,,,,,
"Security Industry Authority",2,,,,,,,,2,,2,,,,,,,,,,,
"Sellafield Ltd",,2,1,,,,,,,,48,,,,,,,,1,,,
"Senior Salaries Review Body",,,3,,,,,,,,17,,,,,,,,,,,
"Single Source Regulations Office",,,,,,,,,1,,59,,,,,,15,1,13,,,
"Skills Funding Agency",7,,,,,,,,,,14,,,,,,1,,5,,,
"Social Mobility Commission",,,,,,,,,,,3,,,,,,,,1,,,
"Social Security Advisory Committee",,,1,,,,,,,,19,,,,,,,,,,,
"Sport England",,,1,,,,,,,,4,,,,,,,,,,,
"Sports Grounds Safety Authority",,,,,,,,,,,1,,,,,,,,,,,
"Stabilisation Unit",,,,,,,,,,,1,,,,,,,,,,,
"Standards and Testing Agency",,,1,,,,,,6,3,242,,,,,1,,,9,,,3
"Student Loans Company",,,,,,,,,1,,2,,,,,,,,5,,,
"Supreme Court of the United Kingdom",,,,,,,,,,,1,,,,,,,,,,,
"Surveillance Camera Commissioner",,,1,,,,,,,,32,,,,,,,,,,,
"Teaching Regulation Agency",,,2,,,,,,,2,93,,,,,,1,,,,,
"The Charity Commission",25,23,9,,,,,,,4,249,1,,,,,2,,3,,,
"The Insolvency Service",24,7,5,,,,1,,7,69,135,,,,,,2,,33,,,6
"The National Archives",18,,,,,,,,,,3,,,,,,,,,,,
"The Oil and Pipelines Agency",,,,,,,,,,,3,,,,,,,,,,,
"The Parliamentary and Health Service Ombudsman",,,,,,,,,,,3,,,,,,,,,,,
"The Pensions Advisory Service",,,,,,,,,,,2,,,,,,,,,,,
"The Pensions Ombudsman",,,,,,,,,,,2,,,,,,,,,,,
"The Pensions Regulator",,,,,,,,,,,6,,,,,,,,,,,
"The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest",,,,,,,,,,,3,,,,,,,,,,,
"The Scottish Government",,,,,,,,,,,3,,,,,,,,,,,
"The Water Services Regulation Authority",,,,,,,,,,,5,,,,,,,,,,,
"Traffic Commissioners for Great Britain",36,1,,,,,,,,,3291,,,,1,,,,,,,
"Transport Focus",1,,,,,,,,,,,,,,,,,,,,,
"Treasury Solicitor’s Department",25,,,,,,,,,,1,,,,,1,,,1,,,
"Tribunal Procedure Committee",,,2,,,,,,,,7,,,,,,,,,,,
"Trinity House",1,,,,,,,,,,2,,,,,,,,,,,
"UK Anti-Doping",,1,1,,,,,,,,1,,,,,,,,,,,
"UK Atomic Energy Authority",37,,,,,,,,,,9,,,,,,,,,,,
"UK Co-ordinating Body",,,,,,,,,,,4,,,,,,,,,,,
"UK Commission for Employment and Skills",,,,,,,,,9,,22,,,6,,,,,10,,,
"UK Debt Management Office",,,,,,,,,,,13,,,,,,,,,,,
"UK Export Finance",31,,,,,,,,2,,90,,,,,,1,1,5,,,
"UK Financial Investments Limited",,,,,,,,,,,1,,,,,,,,,,,
"UK Government Investments",,,,,,,,,,,8,,,,,,,,,,,
"UK Holocaust Memorial Foundation",,,,,,,,,,,1,,,,,,,,,,,
"UK Hydrographic Office",,,,,,,,,,,29,,,,,,,,,,,19
"UK Research and Innovation",,,,,,,,,,,2,,,,,,,,,,,
"UK Space Agency",7,32,45,,,,,,,17,172,,,,,,,,14,,,
"UK Sport",,,,,,,,,,,2,,,,,,,,,,,
"UK Statistics Authority",,,,,,,,,,,1,,,,,,,,,,,
"UK Trade & Investment",,1,,,,,,,,,,,,,,,,,,,,
"UK Visas and Immigration",1,2,3,,,,,,78,5,625,,1,,,,19,,,,,
"UKTI Life Sciences Organisation",,,,,,,,,,,1,,,,,,,,,,,
"Valuation Office Agency",25,,1,,,,,,,,82,,,,,,27,,39,,,3
"Valuation Tribunal Service",,,,,,,,,,,2,,,,,,,,,,,
"Vehicle and Operator Services Agency",4,,,,,,,,,,23,,,,,,1,,,,,
"Vehicle Certification Agency",9,,,,,,,,6,,11,,,,,,,,2,,,
"Veterans Advisory and Pensions Committees",,,,,,,,,,,69,,,,,,,,,,,
"Veterans UK",,,,,,,,,,,21,,,,,,,,,,,
"Veterinary Medicines Directorate",,9,46,,,,,,,3,77,,1,1,,,1,,,,,
"Welsh Government",,2,,,,,,,,,7,,,,,,,,,,,
"Wilton Park",,,,,,,,,,,6,,,,,,,,,,,
"Youth Justice Board for England and Wales",,17,,,,,,,2,,25,,,,,,2,,,,,2
